ID_Analysis	Group	CAT_sum	ANI_sum	Ca_epm	Mg_epm	NaK_epm	HCO3CO3_epm	SO4_epm	CL_epm
730	2	6.154	5.438	69.743	24.066	6.191	61.475	31.776	6.749
731	2	5.518	4.994	72.345	14.915	12.74	75.471	10.412	14.117
732	2	6.61	5.953	57.383	32.36	10.257	49.001	32.521	18.478
733	2	13.599	13.084	22.752	26.017	51.232	55.633	19.574	24.794
734	2	5.721	5.743	55.829	27.32	16.85	64.775	17.047	18.179
735	2	8.708	8.479	59.6	15.124	25.276	44.451	31.926	23.623
736	2	18.319	16.84	15.798	26.95	57.252	21.116	8.533	70.35
737	2	17.723	15.965	52.373	32.037	15.59	37.163	41.992	20.846
738	2	6.121	5.175	34.243	52.426	13.331	61.758	28.966	9.275
739	2	6.397	5.711	49.93	23.151	26.919	71.459	5.831	22.711
740	2	14.427	12.741	60.532	25.667	13.801	35.248	51.472	13.28
741	2	25.527	24.169	41.442	28.366	30.192	5.83	38.504	55.666
742	2	9.116	8.16	66.235	15.347	18.418	71.703	13.775	14.522
743	2	14.625	13.386	47.768	16.315	35.918	23.876	28.926	47.199
744	2	5.644	5.251	56.591	30.617	12.792	49.933	34.489	15.578
745	2	18.616	18.038	22.787	24.753	52.46	34.161	18.927	46.912
746	2	12.789	11.463	42.529	30.886	26.585	23.353	41.952	34.694
747	2	7.72	7.582	43.951	54.365	1.684	77.816	20.324	1.86
748	2	8.622	7.659	27.778	29.587	42.635	26.962	26.635	46.403
749	2	8.466	7.303	71.911	20.411	7.678	46.008	41.627	12.365
750	2	7.121	6.779	39.25	18.495	42.255	35.049	23.337	41.614
751	2	10.816	9.814	43.833	45.645	10.521	58.62	27.583	13.797
752	2	15.124	14.838	30.686	34.819	34.495	24.963	50.512	24.525
753	2	9.558	9.713	57.951	15.495	26.554	42.52	14.795	42.685
754	2	12.229	10.509	57.127	12.781	30.092	38.053	24.37	37.577
755	2	13.404	13.297	63.287	28.238	8.475	29.826	52.14	18.034
756	2	10.724	11.073	48.396	32.227	19.377	60.092	13.158	26.75
757	2	8.275	7.902	26.538	49.716	23.746	55.581	17.654	26.765
758	2	3.48	3.207	50.201	47.299	2.5	93.015	2.588	4.397
759	2	7.242	6.779	48.923	47.722	3.355	91.872	5.222	2.906
760	2	4.146	3.868	65.002	29.764	5.234	91.107	1.603	7.291
761	2	15.313	12.803	58.01	36.544	5.446	24.065	66.024	9.912
762	2	8.699	8.168	41.304	33.107	25.589	61.141	20.899	17.96
763	2	6.686	6.171	73.886	18.456	7.658	75.693	16.529	7.778
764	2	7.032	6.501	72.383	21.061	6.556	65.805	18.582	15.613
765	2	15.691	14.484	54.063	16.258	29.679	37.227	32.201	30.572
766	2	23.276	22.338	25.301	25.455	49.244	20.279	32.622	47.099
767	2	2.695	2.012	42.597	15.25	42.152	60.288	14.463	25.249
